name,state,location,control,for_profit,religious_controlled,religious_orentation,degree_type,focus,founded_in,closed_merged_in,done,closed_reason,enrollment,historically_black,accreditation
Southeast Missouri State University,Missouri,Cape Girardeau,Public,0,0,none,Masters University,,1873,,,,"10,738",,
Colorado College,Colorado,Colorado Springs,Private,0,0,none,Baccalaureate College,,1874,,Jenalyn,,"2,144",,
Rose-Hulman Institute of Technology,Indiana,Terre Haute,Private,0,0,none,Baccalaureate College,,1874,,Jenalyn,,"2,214",,HLC
Minneapolis Business College,Minnesota,Roseville,Private,1,0,none,Associates College,,1874,,Jenalyn,,377,,ACICS
St. Olaf College,Minnesota,Northfield,Private,0,1,Lutheran,Baccalaureate College,,1874,,Jenalyn,,"3,156",,"HLC, CCNE, NASD, NASM, NAST, NCATE"
Macalester College,Minnesota,St. Paul,Private,0,1,Presbyterian,Baccalaureate College,,1874,,Jenalyn,,"2,033",,HLC
Eastern Kentucky University,Kentucky,,Public,0,0,Christian,Baccalaureate College,,1874,,,,,,
SUNY Maritime College,New York,Throggs Neck,Public,0,0,none,Associates College,,1874,,,,"2,083",,
Colorado School of Mines,Colorado,Golden,Public,0,0,none,Doctoral University,,1874,,,,"6,268",,
Andrews University,Michigan,Berrien Springs,Private,0,1,Seventh-day Adventist,Doctoral University,,1874,,Jenalyn,,"3,317",,"HLC, ADA, APTA, ATS, NASM, TCATE, NLNAC"
"University of Nevada, Reno",Nevada,Reno,Public,0,0,none,Baccalaureate College,,1874,,,,21353,,
Knoxville College,Tennessee,Knoxville,Private,0,1, Protestants,Doctoral University,,1875,,Jenalyn,,,,
Brigham Young University,Utah,Provo,Private,0,1,Mormon,Doctoral University,,1875,,Jenalyn,,,,
St. Gregory's University,Oklahoma,Shawnee,Private,0,1,Roman Catholic,Masters University,,1875,2017,Jenalyn,,,,
Huston–Tillotson University,Texas,,Private,0,1,Methodist,Baccalaureate College,,1875,,Jenalyn,,,1,
Park University,Texas,,Private,0,0,none,Associates College,,1875,,Jenalyn,,,,
Huston–Tillotson University,Texas,,Private,0,1,Methodist,Masters University,,1875,,Jenalyn,,,1,
Hebrew Union College-Jewish Institute of Religion,New York,New York,Private,1,1,Jewish,Seminary,,1875,,AJB,,430,,
Westminster College,Utah,Salt Lake City,Private,0,1,Presbyterian,Masters University,,1875,,Jenalyn,,,,
Shenandoah University,Virginia,Winchester,Private,0,1,Methodist,Masters University,,1875,,Jenalyn,,"3,817",,SACS
Parsons College,Iowa,Fairfield,Private,1,1,Presbyterian,Masters University,,1875,1973,Jenalyn,,,,
Park University,Arizona,Glendale,Private,0,0,none,Baccalaureate College,,1875,,Jenalyn,,"11,415",,
University of Wisconsin–River Falls,Wisconsin,River Falls,Public,0,0,,Masters University,,1875,,,,"6,902",,"HLC, ASHA, NASM, NCATE"
Brigham Young University,Hawaii,Laie,Private,0,1,Mormon,Baccalaureate College,,1875,,Jenalyn,,"2,800",,
Park University,Missouri,Parkville,Private,0,0,none,Associates College,,1875,,Jenalyn,,"11,013",,
Alabama A&M University,Alabama,Normal,Public,0,0,none,Masters University,,1875,,,,"6,172",,SACS
Meharry Medical College,Tennessee,Nashville,Private,0,1,United Methodist,Specialized Focus,Medical,1876,,Jenalyn,,,,
Johns Hopkins University,Virginia,Arlington,Private,0,0,none,Doctoral University,,1876,,Jenalyn,,"26,152",,MSCHE
University of the Arts,Pennsylvania,Philadelphia,Private,0,0,none,Specialized Focus,Art,1876,,Jenalyn,,"2,355",,
Belmont Abbey College,North Carolina,Belmont,Private,0,1,Catholic,Baccalaureate College,,1876,,Jenalyn,,"1,556",,
University of Rio Grande,Ohio,Rio Grande,Private,0,0,none,Baccalaureate College,,1876,,Jenalyn,,,,
University of Oregon,Oregon,Eugene,Public,0,0,none,Doctoral University,,1876,,,,"20,296",,
Prairie View A&M University,Texas,,Private,0,0,none,Baccalaureate College,,1876,,Jenalyn,,,1,
Texas A&M University,Texas,,Public,0,0,,Doctoral University,,1876,,,,"49,861",,
Grove City College,Pennsylvania,Grove City (Mercer County),Private,0,1,Presbyterian Church (USA),Masters University,,1876,,Jenalyn,,"2,271",,
Juniata College,Pennsylvania,Huntingdon(Huntingdon County),Private,0,1,Church of the Brethren,Masters University,,1876,,Jenalyn,,"1,628",,
Johns Hopkins University,Maryland,Baltimore,Private,0,0,none,Baccalaureate College,,1876,,Jenalyn,,"26,402",,
Stillman College,Alabama,Tuscaloosa,Private,0,1,Presbyterian Church of the USA,Baccalaureate College,,1876,,Jenalyn,,861,,SACS
Hendrix College,Arkansas,Conway,Private,0,1,United Methodist Church,Baccalaureate College,,1876,,Jenalyn,,"1,444",,
Prairie View A&M University,Texas,,Public,0,0,,Masters University,,1876,,,,"8,608",,
Calvin University,Michigan,Grand Rapids,Private,0,1,Christian Reformed Church,Baccalaureate College,,1876,,Jenalyn,,"3,918",,"HLC, CCNE, NASM"
Calvin Theological Seminary,Michigan,Grand Rapids,Private,0,1,,Seminary,,1876,,AJB,,270,,ATS
University of Colorado,Colorado,Boulder,Public,0,0,none,Doctoral University,,1876,,,,"36,548",,
University of Colorado,Colorado,Colorado Springs,Public,0,0,none,Doctoral University,,1876,,,,"12,435",,
University of Colorado,Colorado,"Denver, Aurora",Public,0,0,none,Doctoral University,,1876,,,,"25,545",,
University of Colorado,Colorado,Parker,Public,0,0,none,Doctoral University,,1876,,,,,,
United States Coast Guard Academy,Connecticut,New London,Public,0,0,none,Baccalaureate College,,1876,,,,986,,
University of Northern Iowa,Iowa,Cedar Falls,Public,0,0,none,Masters University,,1876,,,,"13,168",,"HLC, ASHA, NASM"
Rhode Island School of Design,Rhodes Island,Providence,Private,0,0,none,Specialized Focus,Art,1877,,Jenalyn,,2501,,
St. Edward's University,Texas,,Private,0,1,Catholic,Masters University,,1877,,Jenalyn,,"4,686",,
Bryn Athyn College,Pennsylvania,Bryn Athyn(Montgomery County),Private,0,0,The New Church,Masters University,,1877,,Jenalyn,,223,,
Globe University and Minnesota School of Business,Minnesota,multiple,Private,1,0,none,Baccalaureate College,,1877,2016,Jenalyn,,,,
Philander Smith College,Arkansas,Little Rock,Private,0,1,United Methodist Church,Baccalaureate College,,1877,,Jenalyn,,556,,
Regis University,Colorado,Denver,Private,0,1,Jesuit Catholic,Baccalaureate College,,1877,,Jenalyn,,"7,907",,
University of Hartford,Connecticut,West Hartford,Private,0,1,Roman Catholic,Doctoral University,,1877,,Jenalyn,,"6,714",,
University of Detroit Mercy,Michigan,Detroit,Private,0,1,Catholic,Masters University,,1877,,Jenalyn,,"4,875",,"HLC, APA, CCNE, AANA"
Jackson State University - Jackson,Mississippi,,Public,0,0,Christian,Baccalaureate College,,1877,,,,,1,
Duquesne University,Pennsylvania,Pittsburgh(Allegheny County),Private,0,1,Roman Catholic Church,Doctoral University,,1878,,Jenalyn,,"10,161",,
Ashland University,Ohio,Ashland,Private,0,1,Christian,Doctoral University,,1878,,Jenalyn,,,,
Duquesne University,Pennsylvania,Pittsburgh(Allegheny County),Private,0,1,Roman Catholic Church,Baccalaureate College,,1878,,Jenalyn,,"10,161",,
Champlain College,Vermont,Burlington,Private,0,0,Christian,Masters University,,1878,,Jenalyn,,,,
Selma University,Alabama,Selma,Private,0,1,National Missionary Baptist Convention of America,Seminary,,1878,,AJB,,323,,ABHE
Gorham State College,Maine,Gorham,Private,0,0,none,Associates College,,1878,1970,Jenalyn,,,,
Southwest Baptist University,Missouri,Bolivar,Private,0,1,Southern Baptist,Baccalaureate College,,1878,,Jenalyn,,"3,000",,
Rocky Mountain College,Montana,Billings,Private,0,1,Presbyterian,Baccalaureate College,,1878,,Jenalyn,,997,,
Creighton University,Nebraska,,Private,0,0,Jesuit,Baccalaureate College,,1878,,Jenalyn,,"4,075",,
"Mississippi State University, Vicksburg - Vicksburg",Mississippi,,Public,0,0,none,Baccalaureate College,,1878,,,,,,
"Mississippi State University, Biloxi - Biloxi",Mississippi,,Public,0,0,none,Doctoral University,,1878,,,,,,
University of Maine at Fort Kent,Maine,Fort Kent,Public,0,0,Catholic,Baccalaureate College,,1878,,,,"2,032",,
Mississippi State University - Starkville and Mississippi State,Mississippi,,Public,0,0,none,Baccalaureate College,,1878,,,,,,
University of Southern Maine,Maine,Gorham,Public,0,0,none,Masters University,,1878,,,,"9,835",,
Florida Memorial University,Florida,Miami Gardens,Private,0,1,Baptist,Baccalaureate College,,1879,,Jenalyn,,,1,
Union College,Kentucky,,Private,0,1,Seventh-day Adventist,Baccalaureate College,,1879,,Jenalyn,,,,
Simmons College of Kentucky,Kentucky,,Private,0,1,Baptist,Baccalaureate College,,1879,,Jenalyn,,,1,
Columbus College of Art and Design,Ohio,Columbus,Private,0,0,none,Specialized Focus,Art,1879,,Jenalyn,,,,
Livingstone College,North Carolina,Salisbury,Private,0,1,Methodist,Baccalaureate College,,1879,,Jenalyn,,"1,148",,
Wiley College,Texas,,Private,0,1,Methodist,Baccalaureate College,,1879,,Jenalyn,,,1,
Wiley College,Texas,,Private,0,1,Methodist,Baccalaureate College,,1879,,Jenalyn,,,1,
Draughons Junior College,Tennessee,Nashville,Private,1,0,none,Associates College,,1879,,Jenalyn,,,,
Sam Houston State University,Texas,,Public,0,0,,Doctoral University,,1879,,,,"17,618",,
University of Arkansas for Medical Sciences,Arkansas,Little Rock,Public,0,0,none,Specialized Focus,Medical,1879,,,,"2,867",,
Wentworth Military Academy and College,Missouri,Lexington,Private,0,0,none,Masters University,,1880,2017,Jenalyn,,,,
Presbyterian College,South Carolina,Clinton,Private,0,1,Presbyterian,Baccalaureate College,,1880,,Jenalyn,,1330,,SACS
Bridgewater College,Virginia,Bridgewater,Private,0,1,Brethren,Baccalaureate College,,1880,,Jenalyn,,"1,857",,SACS
Campion College of the Sacred Heart,Wisconsin,Prairie du Chien,Private,1,1,Jesuit,Seminary,,1880,1925,AJB,,,,
University of Southern California,California,Los Angeles,Private,0,0,none,Doctoral University,,1880,,Jenalyn,,,,
Southern University - Baton Rouge,Louisiana,,Public,0,0,Baptist Christian,Baccalaureate College,,1880,,,,,,
University of Nebraska Medical Center,Nebraska,Omaha,Public,0,0,Methodist,Specialized Focus,Medical,1880,,,,"3,681",,
Mother Savior Seminary,New Jersey,,Private,0,1,Catholic,Seminary,,1881,1961,AJB,,,,
Concordia College-New York,New York,Bronxville,Private,0,1,Lutheran Church–Missouri Synod,Masters University,,1881,,Jenalyn,,"1,311",,
St. Peter's University,New Jersey,Jersey City,Private,0,1,Jesuit,Masters University,,1881,,Jenalyn,,"2,987",,MSCHE
Marquette University,Wisconsin,Milwaukee,Private,0,1,Catholic,Doctoral University,,1881,,Jenalyn,,"11,806",,"HLC, ACME, ABA, ADA, APTA, APA, ASHA, CCNE, NCATE, NLNAC"
Albany College of Pharmacy and Health Sciences,New York,Albany,Private,0,1,Catholic,Specialized Focus,Medical,1881,,Jenalyn,,"1,566",,
New Jersey Institute of Technology,New Jersey,Newark,Public,0,0,none,Doctoral University,,1881,,,,"10,130",,MSCHE
United States Army Command and General Staff College,Kansas,,Public,0,0,none,Baccalaureate College,,1881,,,,,,
South Dakota State University,South Dakota,Brookings,Public,0,0,none,Doctoral University,,1881,,,,,,"HLC, ACPE, AND, CCNE, NASM, NCATE"
University of the Incarnate Word,Texas,,Private,0,1,Catholic,Masters University,,1881,,Jenalyn,,"9,940",,
Concordia University Wisconsin,Wisconsin,Mequon,Private,0,1,Lutheran ,Masters University,,1881,,Jenalyn,,"7,484",,"HLC, ACPE, AOTA, APTA, CCNE"
West Virginia Business College–Wheeling,West Virginia,Wheeling,Private,0,1,Roman Catholic,Associates College,,1881,,Jenalyn,,93,,ACICS
Central Penn College,Pennsylvania,Summerdale(Cumberland County),Private,1,1,none,Associates College,,1881,,Jenalyn,,1462,,
Tuskegee University[c],Alabama,Tuskegee,Private,0,0,none,Baccalaureate College,,1881,,Jenalyn,,"2,876",,SACS
Dakota State University,South Dakota,Madison,Public,0,0,,Masters University,,1881,,,,,,"HLC, CAEP, CoARC, ACPSP, CAHIIM[10]"
Drake University,Iowa,Des Moines,Private,0,0,none,Masters University,,1881,,Jenalyn,,"5,384",,"HLC, ACPE, ABA, NASAD, NASM"
University of South Dakota – Springfield,South Dakota,Springfield,Public,0,0,none,Baccalaureate College,,1881,1984,,,,,
University of Connecticut,Connecticut,Storrs,Public,0,0,none,Doctoral University,,1881,,,,"32,027[21]",,
South College,Tennessee,Knoxville,Private,1,0,none,Doctoral University,,1882,,Jenalyn,,,,
Cleveland Institute of Art,Ohio,Cleveland,Private,0,0,none,Specialized Focus,Art,1882,,Jenalyn,,,,
University of Findlay,Ohio,Findlay,Private,0,1,Christian,Masters University,,1882,,Jenalyn,,,,
Nyack College,New York,Nyack,Private,0,1,Christian,Masters University,,1882,,Jenalyn,,"3,531",,
Pacific Union College,California,Angwin,Private,0,1,Seventh-day Adventist Church,Baccalaureate College,,1882,,Jenalyn,,,,
Northwestern College,Iowa,Orange City,Private,1,1,Christian Reformed Church,Baccalaureate College,,1882,,Jenalyn,,"1,211",,"HLC, CCNE, TCATE"
Hastings College,Nebraska,,Private,0,1,Presbyterian,Masters University,,1882,,Jenalyn,,"1,093",,
St. Ambrose University,Iowa,Davenport,Private,0,1,Catholic,Masters University,,1882,,Jenalyn,,"3,567",,"HLC, AOTA, APTA, CCNE, TCATE"
Eastern Washington University,Washington,Cheney,Public,0,0,,Masters University,,1882,,,,"12,635",,
Virginia State University,Virginia,Petersburg,Public,0,0,none,Masters University,,1882,,,,"4,385",,SACS
Maine College of Art,Maine,Portland,Private,0,0,none,Specialized Focus,Art,1882,,Jenalyn,,495,,
"University of California, Los Angeles",California,Los Angeles,Public,0,0,none,Baccalaureate College,,1882,,,,"45,428",,
Florida Southern College,Florida,Miami Gardens,Private,0,1,United Methodist Church,Baccalaureate College,,1883,,Jenalyn,,,,
Stetson University (DeLand),Florida,United States,Private,0,0,none,Baccalaureate College,,1883,,Jenalyn,,"4,000",,
Houghton College,New York,Houghton,Private,0,1,Christian,Baccalaureate College,,1883,,Jenalyn,,"1,129",,
Wagner College,New York,Staten Island,Private,0,1,Evangelical Lutheran,Baccalaureate College,,1883,,Jenalyn,,"2,311",,
University of Jamestown,North Dakota,Jamestown,Private,0,1,Presbyterian,Baccalaureate College,,1883,,Jenalyn,,972,,"Higher Learning Commission(HLC), NLNAC"
University of Sioux Falls,South Dakota,Sioux Falls,Private,0,1,Christian,Baccalaureate College,,1883,,Jenalyn,,,,"HLC, CCNE, NCATE"
Belhaven University - Jackson and Madison,Mississippi,,Private,0,1,Christian,Masters University,,1883,,Jenalyn,,,,
University of North Dakota,North Dakota,Grand Forks,Public,0,0,none,Doctoral University,,1883,,,,"14,194",,"Higher Learning Commission(HLC), ABA, ADA, AOTA, APTA, APA, ASHA, CCNE, AANA, LCME, NASAD, NASM, NAST, NCATE"
Midland University,Nebraska,Fremont,Private,0,1,Evangelical Lutheran,Baccalaureate College,,1883,,Jenalyn,,962,,
University of Texas at Austin,Texas,,Public,0,0,,Doctoral University,,1883,,,,"51,313",,
Cleary University,Michigan,Howell,Private,0,0,none,Baccalaureate College,,1883,,Jenalyn,,592,,HLC
Black Hills State University,South Dakota,Spearfish,Public,0,0,,Masters University,,1883,,,,,,"HLC, NASM, NCATE"
Jacksonville State University,Alabama,Jacksonville,Public,0,0,none,Masters University,,1883,,,,"9,021",,SACS
Dana College,Nebraska,Blair,Private,0,1,Evangelical Lutheran,Baccalaureate College,,1884,2010,Jenalyn,,,,
Trine University–Centreville Campus,Michigan,Centreville,Private,0,0,none,Baccalaureate College,,1884,,Jenalyn,,,,HLC
Gerstner Sloan-Kettering Graduate School of Biomedical Sciences,New York,New York,Private,0,0,none,Specialized Focus,Medical,1884,,Jenalyn,,0,,
Virginia Intermont College,Virginia,Bristol,Private,0,1, Baptist,Associates College,,1884,2014[41],Jenalyn,Financial,,,
Central Christian College,Kansas,McPherson,Private,0,1,Methodist,Baccalaureate College,,1884,,Jenalyn,,,,
Lincoln School of Commerce,Nebraska,Lincoln,Private,0,0,none,Associates College,,1884,1997,Jenalyn,,,,
Middle Georgia State University,Georgia,Macon,Public,0,0,none,Baccalaureate College,,1884,,,,,,
Northwestern State University - Natchitoches,Louisiana,,Public,0,0,Catholic,Baccalaureate College,,1884,,,,,,
Ouachita Baptist University,Arkansas,Little Rock,Private,0,1,Arkansas Baptist State Convention ,Baccalaureate College,,1884,,Jenalyn,,"1,027",,
Woodbury University,California,Burbank,Private,0,0,none,Masters University,,1884,,Jenalyn,,,,
Naval War College,Rhodes Island,Newport,Public,0,0,,Masters University,,1884,,,,562,,
Haskell Indian Nations University,Kansas,,Public,0,0,,Tribal College,,1884,,,,,,
Trine University,Indiana,Angola,Private,0,0,none,Baccalaureate College,,1884,,Jenalyn,,"4,998",,"HLC, TCATE"
Cottey College,Missouri,Nevada,Private,0,0,none,Baccalaureate College,,1884,,Jenalyn,,325,,
Mississippi University for Women - Columbus,Mississippi,,Public,0,0,none,Baccalaureate College,,1884,,,,,,
Bridgeport Hospital School of Nursing,Connecticut,Bridgeport,Private,0,0,none,Specialized Focus,Medical,1884,2017,Jenalyn,,,,
Ferris State University,Michigan,Big Rapids,Public,0,0,none,Masters University,,1884,,,,"14,187",,"HLC, ACPE, ADA, AOA, JRCERT, NLNAC"
Rollins College (Winter Park),Florida,,Private,0,0,none,Baccalaureate College,,1885,,Jenalyn,,,,
Springfield College (Tampa),Florida,United States,Private,0,0,none,Baccalaureate College,,1885,,Jenalyn,,"2,188",,
Watkins College of Art,Tennessee,Nashville,Private,0,1,Christian,Specialized Focus,Art,1885,,Jenalyn,,,,
Watkins College of Art and Design,Tennessee,Nashville,Private,0,1,Christian,Specialized Focus,Art,1885,,Jenalyn,,,,
Pfeiffer University,North Carolina,Misenheimer,Private,0,1,Methodist,Masters University,,1885,,Jenalyn,,"1,365",,
Georgia Institute of Technology,Georgia,Atlanta,Public,0,0,none,Doctoral University,,1885,,,,"15,000",,
Bryn Mawr College,Pennsylvania,Lower Merion Township(Montgomery County),Private,0,0,none,Baccalaureate College,,1885,,Jenalyn,,"1,751",,
Bryn Mawr College,Pennsylvania,Lower Merion Township(Montgomery County),Private,0,0,none,Baccalaureate College,,1885,,Jenalyn,,"1,751",,
University of Wisconsin–Milwaukee,Wisconsin,Milwaukee,Public,0,0,,Doctoral University,,1885,,,,"30,470",,"HLC, AOTA, APTA, APA, ASHA, CCNE, NASM"
Dakota Wesleyan University,South Dakota,Mitchell,Private,0,1,Methodist,Baccalaureate College,,1885,,Jenalyn,,,,"HLC, NLNAC"
Globe University–Sioux Falls,South Dakota,Sioux Falls,Private,0,0,none,Associates College,,1885,,Jenalyn,,,,"ACICS, ABHES"
Welch College,Tennessee,Gallatin,Private,0,1,Free Will Baptist,Baccalaureate College,,1885,,Jenalyn,,,,
Globe University–Eau Claire,Wisconsin,Eau Claire,Private,0,0,none,Associates College,,1885,,Jenalyn,,728,,"ACICS, ABHES"
Holy Family College,Wisconsin,Manitowoc,Private,0,1,Catholic,Seminary,,1885,2020,AJB,,,,
Southwestern College,Kansas,Winoneield,Private,0,1,Methodist,Associates College,,1885,,Jenalyn,,,,
South Dakota School of Mines and Technology,South Dakota,Rapid City,Public,0,0,,Specialized Focus,Mines,1885,,,,,,HLC
Saint Francis College,Oregon,,Private,0,1,Catholic,Baccalaureate College,,1885,1905,Jenalyn,,,,
Redfield College,South Dakota,Redfield,Private,1,1,Catholic,Masters University,,1885,1932,Jenalyn,,,,
Seton Hill University,Pennsylvania,Greensburg(Westmoreland County),Private,0,1,Roman Catholic Church,Baccalaureate College,,1885,,Jenalyn,,"2,258",,
Goucher College,Maryland,Towson,Private,0,1,Christian,Masters University,,1885,,Jenalyn,,"2,680",,
Albert Lea College,Minnesota,Albert Lea,Private,1,1,Catholic,Associates College,,1885,1973,Jenalyn,,,,
Grand Island College,Nebraska,Grand Island,Private,0,1, Baptist,Associates College,,1885,1999,Jenalyn,,,,
Arizona College,Arizona,"Phoenix, Mesa",Private,1,0,none,Baccalaureate College,,1885,,Jenalyn,,,,
University of St. Thomas,Minnesota,"St. Paul, Minneapolis",Private,0,1,Catholic,Doctoral University,,1885,,Jenalyn,,"10,815",,"HLC, ABA, APA, CAHME, ATS, NASM"
Oakland City University,Indiana,Oakland City,Private,0,1, Baptist,Masters University,,1885,,Jenalyn,,"2,517",,"HLC, ATSCA, TCATE"
Arizona State University,Arizona,Tempe,Public,0,0,none,Doctoral University,,1885,,,,"42,844",,
University of Arizona,Arizona,Tucson,Public,0,0,none,Doctoral University,,1885,,,,"45,217",,
Michigan Technological University,Michigan,Houghton,Public,0,0,none,Doctoral University,,1885,,,,"7,252",,"HLC, TCATE"
Minnesota State University Moorhead,Minnesota,Moorhead,Public,0,0,none,Masters University,,1885,,,,"7,536",,"HLC, ASHA, CCNE, NASAD, NASM, NCATE"
American National University,Kentucky,,Private,1,0,none,Masters University,,1886,,Jenalyn,,,,
Jamestown Business College,New York,Jamestown,Private,1,1,Presbyterian,Associates College,,1886,,Jenalyn,,395,,
Jewish Theological Seminary of America,New York,New York,Private,0,1,Catholic,Seminary,,1886,,AJB,,405,,
Yeshiva University,New York,New York,Private,1,1,Jewish,Seminary,,1886,,AJB,,"6,987",,
John Carroll University,Ohio,University Heights,Private,0,1,Jesuit Catholic,Masters University,,1886,,Jenalyn,,,,
Kentucky State University,Kentucky,,Public,0,0,Christian,Baccalaureate College,,1886,,,,,,
Ensign College,Utah,Salt Lake City,Private,1,1,,Seminary,,1886,,AJB,,,,
University of Tennessee at Chattanooga,Tennessee,Chattanooga,Public,0,0,none,Doctoral University,,1886,,,,,,
American National University,Virginia,Multiple[10],Private,1,0,none,Masters University,,1886,,Jenalyn,,"1,072",,ACICS
Moody Bible Institute,Washington,Spokane,Private,1,1,,Seminary,,1886,x,AJB,,"3,442",,
National Louis University (Tampa),Florida,United States,Private,0,0,none,Specialized Focus,Education,1886,,Jenalyn,,3604,,
University of Wyoming,Wyoming,Laramie,Public,0,0,,Doctoral University,,1886,,,,"12,875",,
National College,Virginia,Multiple[10],Private,1,0,none,Associates College,,1886,,Jenalyn,,"14,625",,ACICS
Winthrop University,South Carolina,Rock Hill,Public,0,0,,Masters University,,1886,,,,5813,,SACS
Virginia University of Lynchburg,Virginia,Lynchburg,Private,1,1,Baptist,Seminary,,1886,,AJB,,555,1,TRACS
National College,Kentucky,,Private,1,1,Christian,Associates College,,1886,,Jenalyn,,,,
Kansas Wesleyan University,Kansas,Salina,Private,0,1,Methodist,Masters University,,1886,,Jenalyn,,,,
Shorter College,Arkansas,North Little Rock,Private,0,1,Methodist,Associates College,,1886,,Jenalyn,,330,,
Ouachita Baptist University,Arkansas,Arkadelphia,Private,0,1,Arkansas Baptist State Convention ,Baccalaureate College,,1886,,Jenalyn,,"1,543",,
Goldey–Beacom College,Delaware,Pike Creek Valley,Private,0,0,none,Baccalaureate College,,1886,,Jenalyn,,"2,063",,
National Louis University,Illinois,Chicago,Private,0,1,Catholic,Baccalaureate College,,1886,,Jenalyn,,"3,604",,
H. Sophie Newcomb Memorial College,Louisiana,New Orleans,Private,0,0,none,Baccalaureate College,,1886,2006,Jenalyn,,,,
University of Maryland Eastern Shore,Maryland,Princess Anne,Public,0,0,none,Baccalaureate College,,1886,,,,"2,886",,USM (HBCU)
Alma College,Michigan,Alma,Private,0,1,Presbyterian,Baccalaureate College,,1886,,Jenalyn,,"1,451",,"HLC, NASM"
Moody Bible Institute,Illinois,Chicago,Private,0,1,,Seminary,,1886,,AJB,,,,
Aquinas College,Michigan,Grand Rapids,Private,0,1,Catholic,Masters University,,1886,,Jenalyn,,"1,764",,HLC
Minneapolis College of Art and Design,Minnesota,Minneapolis,Private,0,0,none,Specialized Focus,Art,1886,,Jenalyn,,727,,"NASAD, HLC"
Mount Angel College,Oregon,St. Benedict,Private,0,1,Catholic,Specialized Focus,Seminary,1887,1973,Jenalyn,,,,
Catholic University of America,Virginia,Arlington,Private,0,1,Catholic,Doctoral University,,1887,,Jenalyn,,"5,956",,MSCHE
Gonzaga University,Washington,Spokane,Private,0,1,Roman Catholic,Doctoral University,,1887,,Jenalyn,,"7,501",,
Campbell University,North Carolina,Buies Creek,Private,0,1,Christian,Baccalaureate College,,1887,,Jenalyn,,"6,448",,
Cedarville University,Ohio,Cedarville,Private,0,1,Baptist,Baccalaureate College,,1887,,Jenalyn,,,,
Bethel College,Virginia,Hampton,Private,1,1,,Seminary,,1887,,AJB,,76,,none
Whitney Business College,Oregon,Baker,Private,1,0,none,Career College,,1887,1891,AJB,,,,
Florida A&M University ,Florida,Tallahassee,Public,0,0,none,Doctoral University,,1887,,,,7700,1,
North Carolina State University,North Carolina,Raleigh,Public,0,0,none,Doctoral University,,1887,,,,"34,340",,
Morehead State University,Kentucky,,Public,0,0,none,Baccalaureate College,,1887,,,,,,
Alverno College,Wisconsin,Milwaukee,Private,0,1,Catholic,Masters University,,1887,,Jenalyn,,"2,759",,"HLC, CCNE, NASM, NCATE"
Teachers College at Columbia University,New York,New York,Private,0,0,none,Specialized Focus,Education,1887,,Jenalyn,,"6,526",,
Mount Angel Seminary,Oregon,St. Benedict,Private,1,1,Catholic,Seminary,,1887,,AJB,,177,,
University of North Carolina at Pembroke,North Carolina,Pembroke,Public,0,0,none,Masters University,,1887,,,,"6,269",,
Baker City Normal & Business College,Oregon,Baker,Private,0,1,Methodist,Specialized Focus,Business,1887,1905,Jenalyn,,,,
Central State University,Ohio,Wilberforce,Public,0,0,none,Baccalaureate College,,1887,,,,,1,
Theological Seminary of the Reformed Episcopal Church,Pennsylvania,Whitpain Township(Montgomery County),Private,1,1,Reformed Episcopal Church,Seminary,,1887,,AJB,,19,,
McPherson College,Kansas,McPherson,Private,0,1,Church of the Brethren,Baccalaureate College,,1887,,Jenalyn,,,,
Sinclair Community College,Ohio,Dayton,Public,0,0,none,Associates College,,1887,,,,,,
Sterling College,Kansas,Sterling,Private,0,1,Christian,Baccalaureate College,,1887,,Jenalyn,,,,
Evelyn College for Women,New Jersey,Princeton,Private,1,1,Christian,Baccalaureate College,,1887,1897,Jenalyn,,,,
Pratt Institute-Main,New York,Brooklyn,Private,0,0,none,Masters University,,1887,,Jenalyn,,"5,413",,
Wessington Springs College,South Dakota,Wessington Springs,Private,0,1,Methodist,Masters University,,1887,1964,Jenalyn,,,,
Bethel College,Kansas,North Newton,Private,0,1,Christian,Specialized Focus,Seminary,1887,,Jenalyn,,,,
Concord College,New Hampshire,Concord,Private ,0,0,none,Baccalaureate College,,1887,1973,Jenalyn,,,,
Benedictine University at Mesa,Arizona,Mesa,Private,0,1,Roman Catholic ,Baccalaureate College,,1887,,Jenalyn,,"2,885",,
Cogswell Polytechnical College,California,Sunnyvale,Private,1,0,none,Baccalaureate College,,1887,,Jenalyn,,,,
Occidental College,California,Los Angeles,Private,0,1,Presbyterian,Baccalaureate College,,1887,,Jenalyn,,,,
Pomona College,California,Claremont,Private,0,0,Claremont Colleges,Baccalaureate College,,1887,,Jenalyn,,,,
Whittier College,California,Whittier,Private,0,0,none,Baccalaureate College,,1887,,Jenalyn,,,,
Troy University,Alabama,Troy,Public,0,0,Roman Catholic,Masters University,,1887,,,,"16,436",,SACS
Benedictine University,Illinois,Lisle,Private,0,1,Catholic,Baccalaureate College,,1887,,Jenalyn,,"6,516",,
"California State University, Chico",California,Chico,Public,0,0,none,Baccalaureate College,,1887,,,,"17,488",,
Nebraska Wesleyan University,Nebraska,,Private,0,1,Methodist,Baccalaureate College,,1887,,Jenalyn,,"1,600",,
Saint Paul's College,Virginia,Lawrenceville,Private,0,1,Christian,Associates College,,1888,2013,Jenalyn,,,,
Gordon–Conwell Theological Seminary,Florida,Jacksonville,Private,0,1,"Protestant, evangelical",Seminary,,1888,1969 merger,AJB,,,,
