name,state,location,control,for_profit,religious_controlled,religious_orentation,degree_type,focus,founded_in,closed_merged_in,done,closed_reason,enrollment,historically_black,accreditation
Louisburg College,North Carolina,Louisburg,Private,0,1,Methodist,Baccalaureate College,,1814,,Jenalyn,,594,,
Spalding University,Kentucky,,Private,0,0,Catholic,Baccalaureate College,,1814,,Jenalyn,,,,
Bangor Theological Seminary,Maine,Bangor,Private,0,1,Christian,Seminary,,1814,2013,AJB,,,,
Mirrer Yeshiva Cent Institute,New York,Brooklyn,Private,0,1,Jewish,Doctoral University,,1815,,Jenalyn,,204,,
Allegheny College,Pennsylvania,Meadville (Crawford County),Private,0,1,United Methodist Church,Baccalaureate College,,1815,,Jenalyn,,"1,786",,
SUNY College at Potsdam,New York,Potsdam,Public,0,0,none,Baccalaureate College,,1816,,AJB,,"4,384",,
Asbury College,Maryland,Baltimore,Private,0,1,Christian,Associates College,,1816,1830,Jenalyn,,,,
The General Theological Seminary,New York,New York,Private,1,1,Episcopal Church,Seminary,,1817,,AJB,,90,,
University of Michigan,Michigan,Ann Arbor,Public,0,0,none,Doctoral University,,1817,,AJB,,"44,718",,"HLC, MEAC, ACPE, ABA, ADA, ADA, APA, CAHME, CCNE, CEPH, LCME, NASAD, NASD, NASM, TCATE"
Castleton Medical College,Vermont,Castleton,Private,1,0,none,Specialized Focus,Medical,1818,1862,Jenalyn,,,,
Virginia Theological Seminary,Virginia,Alexandria,Private,1,1,Christian,Seminary,,1818,,AJB,,216,,none
Saint Louis University,Missouri,St. Louis,Private,0,1,Catholic,Doctoral University,,1818,,Jenalyn,,"13,784",,
University of Virginia,Virginia,Charlottesville,Public,0,0,,Doctoral University,,1819,,,,"24,639",,SACS
University of Cincinnati[10],Ohio,Cincinnati,Public,0,0,none,Doctoral University,,1819,,,,,,
Centre College,Kentucky,,Private,0,1,Presbyterian,Baccalaureate College,,1819,,Jenalyn,,,,
Colgate University,New York,Hamilton,Private,0,1,Protestant,Baccalaureate College,,1819,,Jenalyn,,"2,997",,
Maryville College,Tennessee,Maryville,Private,0,1,Presbyterian Church (USA),Doctoral University,,1819,,Jenalyn,,,,
Norwich University,Vermont,Northfield,Private,0,1,Catholic,Masters University,,1819,,Jenalyn,,,,
Indiana University Bloomington,Indiana,Bloomington,Public,0,0,none,Doctoral University,,1820,,,,"42,133",,"HLC, ABA, ADA, AOA, APA, ASHA, CELPA, CEPH, NASAD, NASM, NAST, TCATE"
George Washington University,Virginia,Multiple[10],Private,0,0,none,Doctoral University,,1821,,Jenalyn,,"28,172",,MSCHE
University of the Sciences,Pennsylvania,Philadelphia,Private,0,0,none,Baccalaureate College,,1821,,Jenalyn,,"2,868",,
Widener University,Pennsylvania,Chester(Delaware County),Private,0,0,none,Baccalaureate College,,1821,,Jenalyn,,"7,000",,
Athens State University,Alabama,Athens,Public,0,0,Methodist,Baccalaureate College,,1822,,,,"2,941",,SACS
Union University,Tennessee,Jackson,Private,0,1,Southern Baptist,Doctoral University,,1823,,Jenalyn,,,,
Trinity College,Connecticut,Hartford,Private,0,0,none,Baccalaureate College,,1823,,Jenalyn,,"2,350",,
